city_id,city_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
170300,Babaçulândia,10664,1472,1597,1743,1675,1547,1253,791,391,195
170305,Bandeirantes do Tocantins,3553,567,645,612,522,498,334,205,125,45
170307,Barra do Ouro,4591,887,793,866,647,551,379,257,147,64
170310,Barrolândia,5632,769,874,907,900,797,634,406,233,112
170320,Bernardo Sayão,4459,683,697,779,633,623,534,276,175,59
170330,Bom Jesus do Tocantins,4894,941,897,996,807,516,355,231,100,51
170360,Brasilândia do Tocantins,2201,335,368,355,303,323,245,139,84,49
170370,Brejinho de Nazaré,5497,861,875,948,822,688,550,380,237,136
170380,Buriti do Tocantins,11348,1860,1886,2176,2130,1285,899,604,355,153
170382,Cachoeirinha,2275,442,372,402,325,276,200,146,71,41
170384,Campos Lindos,10116,2272,1994,1994,1502,1037,656,400,182,79
170386,Cariri do Tocantins,4382,588,668,773,731,652,459,276,161,74
170388,Carmolândia,2580,440,436,455,351,319,278,181,89,31
170389,Carrasco Bonito,4095,845,807,710,577,410,340,225,123,58
170390,Caseara,5369,903,851,860,770,744,610,385,183,63
170410,Centenário,2905,456,486,514,416,347,316,196,117,57
170510,Chapada da Natividade,3333,549,506,574,437,391,409,238,165,64
170460,Chapada de Areia,1406,203,186,201,193,204,183,134,76,26
170550,Colinas do Tocantins,35424,5442,6089,6276,5792,4749,3372,2062,1109,533
171670,Colméia,8205,1126,1163,1369,1224,1197,957,646,361,162
170555,Combinado,4852,753,745,782,834,677,525,300,165,71
170560,Conceição do Tocantins,4105,738,656,731,514,468,433,277,192,96
170600,Couto Magalhães,5588,996,922,894,838,725,597,381,171,64
170610,Cristalândia,7289,935,1044,1086,1039,1075,956,620,321,213
170625,Crixás do Tocantins,1722,233,263,254,227,294,201,145,77,28
170650,Darcinópolis,6097,1123,990,1060,927,764,524,392,211,106
170700,Dianópolis,22139,3780,3873,4280,3532,2700,1891,1148,622,313
